Date : 2024-09-20 14:02:32
Directory : /Users/guanyueming/Desktop/github/doc
Total : 82 files,  43518 codes, 2015 comments, 3425 blanks, all 48958 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |          9 |     28,802 |      2,013 |         40 |     30,855 |
| Markdown   |         68 |     13,516 |          0 |      3,379 |     16,895 |
| JSON       |          4 |      1,155 |          0 |          2 |      1,157 |
| TypeScript |          1 |         45 |          2 |          4 |         51 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                              | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                 |         82 |     43,518 |      2,015 |      3,425 |     48,958 |
| . (Files)                                                                                                         |          2 |      1,094 |          0 |          1 |      1,095 |
| docs                                                                                                              |         80 |     42,424 |      2,015 |      3,424 |     47,863 |
| docs (Files)                                                                                                      |          3 |        120 |          0 |         45 |        165 |
| docs/.vitepress                                                                                                   |         12 |     28,908 |      2,015 |         45 |     30,968 |
| docs/.vitepress (Files)                                                                                           |          1 |         45 |          2 |          4 |         51 |
| docs/.vitepress/cache                                                                                             |         11 |     28,863 |      2,013 |         41 |     30,917 |
| docs/.vitepress/cache/deps                                                                                        |         11 |     28,863 |      2,013 |         41 |     30,917 |
| docs/juejin                                                                                                       |          1 |         44 |          0 |         16 |         60 |
| docs/vue                                                                                                          |         64 |     13,352 |          0 |      3,318 |     16,670 |
| docs/vue (Files)                                                                                                  |         21 |      5,071 |          0 |      1,265 |      6,336 |
| docs/vue/es6                                                                                                      |         11 |      2,506 |          0 |        520 |      3,026 |
| docs/vue/js                                                                                                       |         24 |      4,257 |          0 |      1,188 |      5,445 |
| docs/vue/vue3                                                                                                     |          8 |      1,518 |          0 |        345 |      1,863 |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                          | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/guanyueming/Desktop/github/doc/docs/.vitepress/cache/deps/@theme_index.js                                  | JavaScript |        236 |         12 |         12 |        260 |
| /Users/guanyueming/Desktop/github/doc/docs/.vitepress/cache/deps/_metadata.json                                   | JSON       |         58 |          0 |          0 |         58 |
| /Users/guanyueming/Desktop/github/doc/docs/.vitepress/cache/deps/chunk-7LUTEMNG.js                                | JavaScript |      9,236 |         25 |          5 |      9,266 |
| /Users/guanyueming/Desktop/github/doc/docs/.vitepress/cache/deps/chunk-PAUCAATC.js                                | JavaScript |     11,260 |        215 |          8 |     11,483 |
| /Users/guanyueming/Desktop/github/doc/docs/.vitepress/cache/deps/package.json                                     | JSON       |          3 |          0 |          1 |          4 |
| /Users/guanyueming/Desktop/github/doc/docs/.vitepress/cache/deps/vitepress___@vue_devtools-api.js                 | JavaScript |      4,199 |        144 |          5 |      4,348 |
| /Users/guanyueming/Desktop/github/doc/docs/.vitepress/cache/deps/vitepress___@vueuse_core.js                      | JavaScript |        566 |          1 |          1 |        568 |
